,zip_code
1239,93309
1240,93311
1241,93312
1242,93313
1243,93314
1244,93380
1245,93381
1246,93382
1247,93383
1248,93384
1249,93385
1250,93386
1251,93387
1252,93388
1253,93389
1254,93390
1255,93401
1256,93402
1257,93403
1258,93405
1259,93406
1260,93407
1261,93408
1262,93409
1263,93410
1264,93412
1265,93420
1266,93421
1267,93422
1268,93423
1269,93424
1270,93426
1271,93427
1272,93428
1273,93429
1274,93430
1275,93432
1276,93433
1277,93434
1278,93435
1279,93436
1280,93437
1281,93438
1282,93440
1283,93441
1284,93442
1285,93443
1286,93444
1287,93445
1288,93446
1289,93447
1290,93448
1291,93449
1292,93450
1293,93451
1294,93452
1295,93453
1296,93454
1297,93455
1298,93456
1299,93457
1300,93458
1301,93460
1302,93461
1303,93463
1304,93464
1305,93465
1306,93475
1307,93483
1308,93501
1309,93502
1310,93504
1311,93505
1312,93510
1313,93512
1314,93513
1315,93514
1316,93515
1317,93516
1318,93517
1319,93518
1320,93519
1321,93522
1322,93523
1323,93524
1324,93526
1325,93527
1326,93528
1327,93529
1328,93530
1329,93531
1330,93532
1331,93534
1332,93535
1333,93536
1334,93539
1335,93541
1336,93542
1337,93543
1338,93544
1339,93545
1340,93546
1341,93549
1342,93550
1343,93551
1344,93552
1345,93553
1346,93554
1347,93555
1348,93556
1349,93558
1350,93560
1351,93561
1352,93562
1353,93563
1354,93581
1355,93584
1356,93586
1357,93590
1358,93591
1359,93592
1360,93596
1361,93599
1362,93601
1363,93602
1364,93603
1365,93604
1366,93605
1367,93606
1368,93607
1369,93608
1370,93609
1371,93610
1372,93611
1373,93612
1374,93613
1375,93614
1376,93615
1377,93616
1378,93618
1379,93619
1380,93620
1381,93621
1382,93622
1383,93623
1384,93624
1385,93625
1386,93626
1387,93627
1388,93628
1389,93630
1390,93631
1391,93633
1392,93634
1393,93635
1394,93636
1395,93637
1396,93638
1397,93639
1398,93640
1399,93641
1400,93642
1401,93643
1402,93644
1403,93645
1404,93646
1405,93647
1406,93648
1407,93649
1408,93650
1409,93651
1410,93652
1411,93653
1412,93654
1413,93656
1414,93657
1415,93660
1416,93661
1417,93662
1418,93664
1419,93665
1420,93666
1421,93667
1422,93668
1423,93669
1424,93670
1425,93673
1426,93675
1427,93701
1428,93702
1429,93703
1430,93704
1431,93705
1432,93706
1433,93707
1434,93708
1435,93709
1436,93710
1437,93711
1438,93712
1439,93714
1440,93715
1441,93716
1442,93717
1443,93718
1444,93720
1445,93721
1446,93722
1447,93723
1448,93724
1449,93725
1450,93726
1451,93727
1452,93728
1453,93729
1454,93730
1455,93737
1456,93740
1457,93741
1458,93744
1459,93745
1460,93747
1461,93750
1462,93755
1463,93760
1464,93761
1465,93764
1466,93765
1467,93771
1468,93772
1469,93773
1470,93774
1471,93775
1472,93776
1473,93777
1474,93778
1475,93779
1476,93780
1477,93784
1478,93786
1479,93790
1480,93791
1481,93792
1482,93793
1483,93794
1484,93844
1485,93888
1486,93901
1487,93902
1488,93905
1489,93906
1490,93907
1491,93908
1492,93912
1493,93915
1494,93920
1495,93921
1496,93922
1497,93923
1498,93924
1499,93925
1500,93926
1501,93927
1502,93928
1503,93930
1504,93932
1505,93933
1506,93940
1507,93942
1508,93943
1509,93944
1510,93950
1511,93953
1512,93954
1513,93955
1514,93960
1515,93962
1516,94002
1517,94005
1518,94010
1519,94011
1520,94013
1521,94014
1522,94015
1523,94016
1524,94017
1525,94018
1526,94019
1527,94020
1528,94021
